band_name,times_played,years_played
Noisem,1,"(2013,)"
Nokturnel,1,"(2011,)"
No/Mas,1,"(2022,)"
Noothgrush,3,"(2012, 2014, 2017)"
Nordjevel,1,"(2017,)"
North,1,"(2017,)"
November’s Doom,2,"(2016, 2022)"
Nuclear Assault,3,"(2008, 2011, 2016)"
Nunslaughter,2,"(2011, 2022)"
Nunwhore Commando 666,1,"(2007,)"
Oak,1,"(2011,)"
Obituary,3,"(2010, 2015, 2022)"
Obliteration,2,"(2010, 2019)"
The Obsessed,1,"(2013,)"
Occultist,1,"(2017,)"
October 31,1,"(2012,)"
October Tide,1,"(2017,)"
Odious Mortem,1,"(2007,)"
The Offering,1,"(2016,)"
Old Lines,1,"(2013,)"
Onslaught,1,"(2022,)"
Opera IX,1,"(2018,)"
Orange Goblin,1,"(2011,)"
Oranssi Pazuzu,1,"(2017,)"
Ordeals,1,"(2019,)"
Organ Dealer,1,"(2017,)"
Origin,1,"(2015,)"
Outre-Tombe,1,"(2019,)"
Pagan Altar,1,"(2013,)"
Pallbearer,1,"(2013,)"
Panzerfaust,1,"(2022,)"
Paradise Lost,1,"(2016,)"
Pavel Chekov,1,"(2018,)"
Pelican,1,"(2013,)"
P.L.F,3,"(2009, 2015, 2017)"
Pentagram,2,"(2010, 2013)"
Pentagram Chile,1,"(2012,)"
Perdition Temple,1,"(2018,)"
Pessimist,1,"(2018,)"
Pestilence,2,"(2010, 2019)"
Petrification,1,"(2018,)"
Phobia,3,"(2004, 2008, 2009)"
Phobocosm,1,"(2016,)"
Phrenelith,1,"(2018,)"
Pig Destroyer,5,"(2004, 2005, 2009, 2013, 2018)"
Pigsty,1,"(2009,)"
Pink Mass,1,"(2022,)"
Pizzahifive,1,"(2015,)"
Plagues,1,"(2018,)"
Pneumatic Slaughter,1,"(2014,)"
Portal,2,"(2010, 2015)"
Possessed,1,"(2010,)"
Priapus,1,"(2016,)"
Primitive Man,3,"(2015, 2019, 2022)"
Primordial,1,"(2015,)"
Profanatica,1,"(2022,)"
Profanity,1,"(2004,)"
Prong,1,"(2018,)"
Prophecy,1,"(2005,)"
Prosanctus Inferi,1,"(2015,)"
Psuedogod,1,"(2014,)"
Pulling Teeth,1,"(2011,)"
Pulmonary Fibrosis,1,"(2018,)"
Pungent Stench,1,"(2006,)"
Pure Hiss,1,"(2018,)"
Putrescence,3,"(2007, 2010, 2016)"
Putrisect,1,"(2014,)"
Psychotogen,1,"(2003,)"
Putrid Pile,3,"(2003, 2016, 2022)"
Pyrexia,2,"(2003, 2022)"
Quills,1,"(2006,)"
Ratos de Porão,1,"(2014,)"
Razor,1,"(2015,)"
The Red Chord,2,"(2004, 2009)"
Reeking Cross,1,"(2018,)"
Regurgitate,2,"(2005, 2007)"
Regurgitation,1,"(2019,)"
Repugnant,1,"(2011,)"
Repulsion,4,"(2004, 2010, 2013, 2016)"
Retalliation,1,"(2007,)"
Retch,1,"(2003,)"
Retching Pus,1,"(2022,)"
Revenge,2,"(2013, 2019)"
Righteous Pigs,1,"(2013,)"
Ringworm,2,"(2013, 2016)"
Rippikoulu,1,"(2019,)"
Ritual Necromancy,1,"(2018,)"
Rompeprop,3,"(2004, 2006, 2010)"
Root,1,"(2017,)"
Rorschach,1,"(2012,)"
Rottenness,1,"(2010,)"
Rotten Sound,6,"(2004, 2005, 2007, 2009, 2013, 2016)"
Rottrevore,1,"(2022,)"
The Ruins of Beverast,3,"(2014, 2018, 2022)"
Rupture Christ,1,"(2003,)"
Rwake,1,"(2012,)"
Sacramentum,1,"(2022,)"
Sacred Reich,1,"(2013,)"
Sacrifice,1,"(2014,)"
Sacrilegia,1,"(2022,)"
Sadistic Intent,2,"(2010, 2018)"
Saint Vitus,1,"(2012,)"
Samael,1,"(2016,)"
Samothrace,1,"(2017,)"
Sanitys Dawn,2,"(2006, 2016)"
Saprogenic,2,"(2003, 2007)"
Sargeist,2,"(2012, 2017)"
Sarke,1,"(2014,)"
Satan,1,"(2016,)"
Saturnalia Temple,1,"(2016,)"
Satyricon,1,"(2018,)"
Sayyadina,2,"(2006, 2009)"
Scattered Remnants,1,"(2022,)"
Schirenc Plays Pungent Stench,1,"(2022,)"
Scorched,1,"(2022,)"
Scour,1,"(2019,)"
Screaming Afterbirth,1,"(2005,)"
Scumbitch,1,"(2003,)"
Secrets of the Moon,1,"(2016,)"
Serpentine Path,1,"(2015,)"
Sete Star Sept,1,"(2013,)"
Setherial,1,"(2012,)"
Seven Sisters of Sleep,1,"(2014,)"
Severed Head,1,"(2003,)"
Severed Head of State,1,"(2016,)"
Severed Savior,1,"(2003,)"
Severe Torture,2,"(2006, 2016)"
Shed the Skin,1,"(2016,)"
Shitstorm,2,"(2011, 2014)"
Shock Narcotic,1,"(2022,)"
Sick Fix,1,"(2016,)"
Sick of Stupidity,1,"(2016,)"
Sick/Tired,1,"(2014,)"
Siege,1,"(2017,)"
Sigh,1,"(2009,)"
Sinister,2,"(2010, 2018)"
Sinmara,1,"(2018,)"
Six Brew Bantha,1,"(2016,)"
Skarp,1,"(2008,)"
Skepticism,1,"(2015,)"
Skeletal Remains,2,"(2017, 2022)"
Skinless,4,"(2003, 2006, 2011, 2015)"
Skitsystem,1,"(2007,)"
Skullshitter,1,"(2016,)"
Sleep,1,"(2013,)"
Soilent Green,1,"(2014,)"
Soils of Fate,1,"(2003,)"
Sólstafir,1,"(2014,)"
Solstice,1,"(2015,)"
Sorrower,1,"(2019,)"
Sourvein,1,"(2014,)"
Spazztic Blurr,1,"(2015,)"
Spectral Voice,1,"(2019,)"
Speedwolf,1,"(2013,)"
Spinefed,1,"(2003,)"
Spite,1,"(2022,)"
Splatterhouse,2,"(2005, 2015)"
Splitter,1,"(2009,)"
Squash Bowels,3,"(2008, 2019, 2022)"
Stapled Shut,1,"(2014,)"
Stimulant,1,"(2018,)"
Stormtroopers of Beer,1,"(2017,)"
Sublime Cadaveric Decomposition,2,"(2003, 2018)"
Subrosa,1,"(2017,)"
Suffering Hour,2,"(2018, 2022)"
Suffocation,5,"(2003, 2012, 2015, 2018, 2022)"
Sulaco,2,"(2010, 2019)"
Sulfuric Cautery,1,"(2022,)"
Suppression,1,"(2017,)"
Surroundings,1,"(2010,)"
Suture,1,"(2003,)"
Svarttjern,1,"(2016,)"
Swarm of the Lotus,1,"(2004,)"
Taake,1,"(2014,)"
Tankard,1,"(2014,)"
Tchornobog,1,"(2019,)"
Terrorizer,1,"(2017,)"
Terveet Kädet,1,"(2013,)"
Test,2,"(2016, 2018)"
Testament,1,"(2016,)"
Thantifaxath,2,"(2015, 2018)"
Theories,1,"(2014,)"
Throaat,1,"(2022,)"
Tiamat,1,"(2017,)"
Tinner,1,"(2013,)"
Today is the Day,2,"(2012, 2018)"
Tomb Mold,1,"(2019,)"
Tombs,2,"(2010, 2015)"
Torche,1,"(2014,)"
Tormentor,1,"(2019,)"
Torn the Fuck Apart,1,"(2018,)"
Torsofuck,1,"(2008,)"
Torture Rack,1,"(2017,)"
Total Fucking Destruction,3,"(2006, 2010, 2019)"
Total Maniac,1,"(2022,)"
Tragedy,3,"(2011, 2013, 2016)"
Trap Them,3,"(2008, 2009, 2010)"
Triac,2,"(2009, 2015)"
Triptykon,2,"(2015, 2022)"
Triumph of Death,1,"(2022,)"
True Black Dawn,1,"(2019,)"
The True Mortem,1,"(2018,)"
Tsjuder,2,"(2012, 2015)"
Tulus,1,"(2016,)"
Twilight of the Gods,1,"(2015,)"
UADA,2,"(2017, 2022)"
Ufomammut,2,"(2015, 2018)"
Ulcerate,2,"(2012, 2014)"
Uncle Acid and the Deadbeats,1,"(2014,)"
Unearthly Trance,1,"(2009,)"
Unholy Grave,2,"(2006, 2014)"
Unleashed,2,"(2014, 2019)"
Unsane,1,"(2012,)"
Usnea,1,"(2015,)"
Usurper,1,"(2017,)"
UxDxS,1,"(2017,)"
Vader,1,"(2017,)"
Vallenfyre,1,"(2015,)"
Vanum,1,"(2019,)"
Vattnet Viskar,1,"(2015,)"
Vault Dweller,1,"(2019,)"
Venomous Concept,1,"(2009,)"
Verbal Abuse,1,"(2010,)"
Venom,2,"(2013, 2016)"
Victims,2,"(2009, 2014)"
Vinterland,1,"(2013,)"
Violation Wound,1,"(2018,)"
Vio-lence,1,"(2022,)"
Viscera Infest,1,"(2018,)"
Visceral Disgorge,2,"(2011, 2016)"
Vital Remains,1,"(2006,)"
Vitamin X,1,"(2013,)"
Voivod,2,"(2011, 2019)"
Vomit Remnants,1,"(2004,)"
Vomitory,1,"(2007,)"
Vulcano,1,"(2015,)"
Waco Jesus,2,"(2008, 2016)"
Wake,1,"(2013,)"
Warfuck,1,"(2022,)"
Warmask,1,"(2022,)"
War Master,1,"(2014,)"
Warscars,1,"(2005,)"
Wasteform,1,"(2003,)"
Watain,1,"(2010,)"
Water Torture,1,"(2015,)"
Weedeater,2,"(2013, 2016)"
Weekend Nachos,2,"(2009, 2013)"
Whitehorse,1,"(2014,)"
Whoresnation,2,"(2016, 2022)"
Windhand,1,"(2014,)"
Winter,2,"(2012, 2015)"
Witchaven,1,"(2011,)"
Withered,1,"(2009,)"
Wolfbrigade,2,"(2010, 2015)"
Wombbath,1,"(2016,)"
Wolves in the Throne Room,1,"(2009,)"
Wormed,3,"(2005, 2011, 2016)"
Wormrot,1,"(2018,)"
Wrathprayer,1,"(2014,)"
XXX Maniak,1,"(2005,)"
Yacøpsæ,2,"(2006, 2016)"
Yakuza,1,"(2009,)"
Yautja,1,"(2022,)"
YOB,2,"(2012, 2015)"
Zemial,1,"(2019,)"
Zhrine,1,"(2016,)"
